gemini-1.5-flash-8b,Unknown,True,2,8,TechNova Budget Project,31,Devon; Sam; Leah; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,TechNova Launch,Budget Planning,4,26.2,0.000005,0.000041,0.62,0.97,176.32
gemini-1.5-flash-8b,Unknown,True,2,9,TechNova Product Descriptions Project,22,Devon; Leah; Sam; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,TechNova Launch,General,4,26.2,0.000005,0.000058,0.44,0.73,176.32
gemini-1.5-flash-latest,Unknown,True,6,1,EcoBloom Summer Campaign: Planning & Revisions,44,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,EcoBloom Campaign,Planning,4,20.04,0.000008,0.000058,0.88,0.97,150.18
gemini-1.5-flash-latest,Unknown,True,6,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,FitFusion Rebranding,Legal Review,4,20.04,0.000008,0.000042,1.2,0.6,150.18
gemini-1.5-flash-latest,Unknown,True,6,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,TechNova Launch,Budget Planning,4,20.04,0.000008,0.000037,1.36,0.41,150.18
gemini-1.5-flash-latest,Unknown,True,6,4,"GreenScape Sustainability Report: Content, Design & Legal",37,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,GreenScape Report,Legal Review,4,20.04,0.000008,0.000069,0.74,0.86,150.18
gemini-1.5-flash-latest,Unknown,True,6,5,UrbanEdge Social Media Strategy & Market Research,37,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,UrbanEdge Strategy,Strategy,4,20.04,0.000008,0.000069,0.74,0.86,150.18
gemini-1.5-flash-latest,Unknown,True,6,6,Q3 Content Calendar Development,25,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,Q3 Content Calendar,Content Planning,4,20.04,0.000008,0.000101,0.5,0.58,150.18
gemini-1.5-flash-latest,Unknown,True,6,7,GreenScape Sustainability Report Deadline Extension,29,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.97,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,GreenScape Report,Sustainability,4,20.04,0.000008,0.000087,0.58,0.68,150.18
gemini-1.5-pro,Unknown,True,11,1,EcoBloom Summer Campaign: Initial Planning and Deadlines,13,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,0.001250,0.005000,0.001645,0.045408,0.85,0.90,EcoBloom Campaign,Planning,4,9.83,0.000151,0.003493,0.26,0.65,99.15
gemini-1.5-pro,Unknown,True,11,2,FitFusion Rebranding Project Kickoff and Initial Planning,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,FitFusion Rebranding,Planning,4,9.83,0.000151,0.003027,0.3,0.75,99.15
gemini-1.5-pro,Unknown,True,11,3,TechNova New Product Launch: Initial Planning and Deadlines,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,TechNova Launch,Planning,4,9.83,0.000151,0.003027,0.3,0.75,99.15
gemini-1.5-pro,Unknown,True,11,4,GreenScape Sustainability Report: Initial Planning and Data Collection,15,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,GreenScape Report,Planning,4,9.83,0.000151,0.003027,0.3,0.75,99.15
gemini-1.5-pro,Unknown,True,11,5,UrbanEdge Social Media Strategy Development,15,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,UrbanEdge Strategy,Strategy,4,9.83,0.000151,0.003027,0.3,0.75,99.15
gemini-1.5-pro,Unknown,True,11,6,EcoBloom Summer Campaign: Design Revisions and Client Feedback,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,EcoBloom Campaign,Revisions,4,9.83,0.000151,0.003027,0.3,0.75,99.15
gemini-1.5-pro,Unknown,True,11,7,FitFusion Rebranding: Legal Review and Tagline Revisions,23,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,FitFusion Rebranding,Legal Review,4,9.83,0.000151,0.001974,0.46,0.85,99.15
gemini-1.5-pro,Unknown,True,11,8,Q3 Content Calendar Development and Planning,25,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,Q3 Content Calendar,Planning,4,9.83,0.000151,0.001816,0.5,0.75,99.15
gemini-1.5-pro,Unknown,True,11,9,TechNova Product Launch Campaign Budget Finalization,31,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,TechNova Launch,Budget Planning,4,9.83,0.000151,0.001465,0.62,0.45,99.15
gemini-1.5-pro,Unknown,True,11,10,GreenScape Sustainability Report Deadline Extension and Project Impact,29,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,GreenScape Report,Sustainability,4,9.83,0.000151,0.001566,0.58,0.55,99.15
gemini-1.5-pro,Unknown,True,11,11,EcoBloom Summer Campaign: Final Design Review and Client Submission,16,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,EcoBloom Campaign,Legal Review,4,9.83,0.000151,0.002838,0.32,0.8,99.15
gemini-1.5-pro,Unknown,True,11,12,FitFusion Rebranding: Brand Guidelines Development and Legal Review,22,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,FitFusion Rebranding,Legal Review,4,9.83,0.000151,0.002064,0.44,0.9,99.15
gemini-1.5-pro,Unknown,True,11,13,TechNova Product Launch: Product Descriptions and Compliance Review,22,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,TechNova Launch,Legal Review,4,9.83,0.000151,0.002064,0.44,0.9,99.15
gemini-1.5-pro,Unknown,True,11,14,GreenScape Sustainability Report: Data Visualization Development and Review,22,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,GreenScape Report,Legal Review,4,9.83,0.000151,0.002064,0.44,0.9,99.15
gemini-1.5-pro,Unknown,True,11,15,UrbanEdge Market Expansion: Market Research and Compliance Review,22,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.52,0.045408,28187,25474,2713,1.25e-06,0.000001,0.000005,0.000002,0.045408,0.85,0.90,UrbanEdge Strategy,Legal Review,4,9.83,0.000151,0.002064,0.44,0.9,99.15
gemini-1.5-pro-002,Unknown,True,10,1,EcoBloom Summer Campaign,44,Devon; Sam; Leah; Jordan,100.0,6,50.0,68,25,300,28.35,0.042758,27657,25474,2183,1.25e-06,0.000001,0.000005,0.000002,0.042758,0.85,0.90,EcoBloom Campaign,General,4,10.58,0.000143,0.000972,0.88,0.88,102.9
gemini-1.5-pro-002,Unknown,True,10,2,FitFusion Rebranding Project,60,Devon; Sam; Leah; Jordan,100.0,6,50.0,68,25,300,28.35,0.042758,27657,25474,2183,1.25e-06,0.000001,0.000005,0.000002,0.042758,0.85,0.90,FitFusion Rebranding,Rebranding,4,10.58,0.000143,0.000713,1.2,0.8,102.9
gemini-1.5-pro-002,Unknown,True,10,3,TechNova Product Launch,68,Devon; Sam; Leah; Jordan,100.0,6,50.0,68,25,300,28.35,0.042758,27657,25474,2183,1.25e-06,0.000001,0.000005,0.000002,0.042758,0.85,0.90,TechNova Launch,Product Launch,4,10.58,0.000143,0.000629,1.36,0.64,102.9
gemini-1.5-pro-002,Unknown,True,10,4,GreenScape Sustainability Report,66,Devon; Sam; Leah; Jordan,100.0,6,50.0,68,25,300,28.35,0.042758,27657,25474,2183,1.25e-06,0.000001,0.000005,0.000002,0.042758,0.85,0.90,GreenScape Report,Sustainability,4,10.58,0.000143,0.000648,1.32,0.68,102.9
gemini-1.5-pro-002,Unknown,True,10,5,UrbanEdge Social Media Strategy and Market Research,37,Devon; Sam; Leah; Jordan,100.0,6,50.0,68,25,300,28.35,0.042758,27657,25474,2183,1.25e-06,0.000001,0.000005,0.000002,0.042758,0.85,0.90,UrbanEdge Strategy,Strategy,4,10.58,0.000143,0.001156,0.74,0.74,102.9
gemini-1.5-pro-002,Unknown,True,10,6,Q3 Content Calendar Planning,25,Devon; Sam; Leah; Jordan,100.0,6,50.0,68,25,300,28.35,0.042758,27657,25474,2183,1.25e-06,0.000001,0.000005,0.000002,0.042758,0.85,0.90,Q3 Content Calendar,Planning,4,10.58,0.000143,0.001710,0.5,0.5,102.9
gemini-1.5-pro-latest,Unknown,True,12,1,EcoBloom Summer Campaign: Initial Planning and Deadlines,13,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,EcoBloom Campaign,Planning,4,9.82,0.000151,0.003495,0.26,0.65,99.11
gemini-1.5-pro-latest,Unknown,True,12,2,FitFusion Rebranding Project: Kickoff and Initial Planning,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,FitFusion Rebranding,Planning,4,9.82,0.000151,0.003029,0.3,0.75,99.11
gemini-1.5-pro-latest,Unknown,True,12,3,TechNova Product Launch: Initial Planning and Deadlines,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,TechNova Launch,Planning,4,9.82,0.000151,0.003029,0.3,0.75,99.11
gemini-1.5-pro-latest,Unknown,True,12,4,GreenScape Sustainability Report: Initial Planning and Requirements,15,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,GreenScape Report,Planning,4,9.82,0.000151,0.003029,0.3,0.75,99.11
gemini-1.5-pro-latest,Unknown,True,12,5,UrbanEdge Social Media Strategy: Planning and Development,15,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,UrbanEdge Strategy,Planning,4,9.82,0.000151,0.003029,0.3,0.75,99.11
gemini-1.5-pro-latest,Unknown,True,12,6,EcoBloom Summer Campaign: Design Revisions and Client Feedback,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,EcoBloom Campaign,Revisions,4,9.82,0.000151,0.003029,0.3,0.75,99.11
gemini-1.5-pro-latest,Unknown,True,12,7,FitFusion Rebranding: Legal Review and Tagline Revisions,23,Devon; Jordan; Sam; Leah,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,FitFusion Rebranding,Legal Review,4,9.82,0.000151,0.001976,0.46,0.85,99.11
gemini-1.5-pro-latest,Unknown,True,12,8,Q3 Content Calendar Planning and Development,25,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,Q3 Content Calendar,Planning,4,9.82,0.000151,0.001818,0.5,0.75,99.11
gemini-1.5-pro-latest,Unknown,True,12,9,TechNova Product Launch: Budget Planning and Finalization,31,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,TechNova Launch,Planning,4,9.82,0.000151,0.001466,0.62,0.45,99.11
gemini-1.5-pro-latest,Unknown,True,12,10,GreenScape Sustainability Report: Deadline Extension and Project Impact,29,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,GreenScape Report,Sustainability,4,9.82,0.000151,0.001567,0.58,0.55,99.11
gemini-1.5-pro-latest,Unknown,True,12,11,EcoBloom Summer Campaign: Final Design Review and Client Submission,16,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,EcoBloom Campaign,Legal Review,4,9.82,0.000151,0.002840,0.32,0.8,99.11
gemini-1.5-pro-latest,Unknown,True,12,12,FitFusion Rebranding: Brand Guidelines Development and Legal Review,22,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,FitFusion Rebranding,Legal Review,4,9.82,0.000151,0.002065,0.44,0.9,99.11
gemini-1.5-pro-latest,Unknown,True,12,13,TechNova Product Launch: Product Description Development and Compliance Review,22,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,TechNova Launch,Legal Review,4,9.82,0.000151,0.002065,0.44,0.9,99.11
gemini-1.5-pro-latest,Unknown,True,12,14,GreenScape Sustainability Report: Data Visualization Development and Review,22,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,GreenScape Report,Legal Review,4,9.82,0.000151,0.002065,0.44,0.9,99.11
gemini-1.5-pro-latest,Unknown,True,12,15,UrbanEdge Market Expansion: Market Research and Compliance Review,22,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,30.55,0.045438,28193,25474,2719,1.25e-06,0.000001,0.000005,0.000002,0.045438,0.85,0.90,UrbanEdge Strategy,Legal Review,4,9.82,0.000151,0.002065,0.44,0.9,99.11
gemini-2.0-flash,Unknown,True,9,1,EcoBloom Summer Campaign - Initial Planning and Timeline,13,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,EcoBloom Campaign,Planning,4,15.61,0.000013,0.000296,0.26,0.65,128.06
gemini-2.0-flash,Unknown,True,9,2,FitFusion Rebranding Project - Initial Planning and Timeline,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,FitFusion Rebranding,Planning,4,15.61,0.000013,0.000256,0.3,0.75,128.06
gemini-2.0-flash,Unknown,True,9,3,TechNova Product Launch Campaign - Initial Planning and Timeline,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,TechNova Launch,Planning,4,15.61,0.000013,0.000256,0.3,0.75,128.06
gemini-2.0-flash,Unknown,True,9,4,GreenScape Sustainability Report - Planning and Timeline,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,GreenScape Report,Planning,4,15.61,0.000013,0.000256,0.3,0.75,128.06
gemini-2.0-flash,Unknown,True,9,5,UrbanEdge Social Media Strategy - Planning and Timeline,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,UrbanEdge Strategy,Planning,4,15.61,0.000013,0.000256,0.3,0.75,128.06
gemini-2.0-flash,Unknown,True,9,6,EcoBloom Summer Campaign - Design Revisions Based on Client Feedback,15,Devon; Sam; Leah; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,EcoBloom Campaign,Revisions,4,15.61,0.000013,0.000256,0.3,0.75,128.06
gemini-2.0-flash,Unknown,True,9,7,FitFusion Rebranding - Legal Review and Tagline Approval,23,Jordan; Devon; Sam; Leah,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,FitFusion Rebranding,Legal Review,4,15.61,0.000013,0.000167,0.46,0.85,128.06
gemini-2.0-flash,Unknown,True,9,8,Q3 Content Calendar Development and Finalization,25,Devon; Leah; Sam; Jordan,100.0,15,20.0,31,13,300,19.22,0.003843,28714,25474,3240,5e-07,0.000000,0.000000,0.000000,0.003843,0.85,0.90,Q3 Content Calendar,Final Design,4,15.61,0.000013,0.000154,0.5,0.75,128.06
