MODEL,PROVIDER,SUCCESS,DURATION_SECONDS,TIMESTAMP,NUM_REFINED_CLUSTERS,NUM_STEP1_CLUSTERS,CLUSTER_COUNT_REDUCTION,AVG_CLUSTER_SIZE,AVG_STEP1_SIZE,SIZE_REDUCTION,SIZE_STD_REDUCTION,TOTAL_PARTICIPANTS,TOTAL_OPERATIONS,MERGE_OPERATIONS,SPLIT_OPERATIONS,REFINE_OPERATIONS,AVG_TITLE_SIMILARITY,AVG_COMBINED_SIMILARITY,HIGH_QUALITY_MATCHES,QUALITY_RATE,CLUSTER_TITLES
google_gemini-1.5-flash,google,True,3.9972102642059326,2025-10-01T10:25:44.842275,11,7,-4,15.636363636363637,42.857142857142854,27.220779220779217,-3.039259135004139,4,0,0,0,0,0.41658786752007226,0.41658786752007226,5,0.45454545454545453,"EcoBloom Summer Campaign: Planning & Revisions; ; ; ; ; ; ; GreenScape Sustainability Report: Content, Design & Legal; UrbanEdge Social Media Strategy & Market Research; Q3 Content Calendar Development; GreenScape Sustainability Report Deadline Extension"
google_gemini-2.5-flash-lite,google,True,3.7640271186828613,2025-10-01T10:25:06.290318,13,15,2,23.076923076923077,20.0,-3.0769230769230766,-2.4404249591926765,4,0,0,0,0,0.8420803741766856,0.8420803741766856,12,0.9230769230769231,Merged: cluster_001 + cluster_006 + cluster_011; FitFusion Rebranding Project Kickoff and Planning; TechNova Product Launch Campaign Planning; GreenScape Sustainability Report Development; UrbanEdge Social Media Strategy Development; FitFusion Rebranding Legal Review and Tagline Finalization; Q3 Content Calendar Development and Finalization; TechNova Product Launch Budget Finalization; GreenScape Sustainability Report Deadline Extension and Project Impact; FitFusion Rebranding Brand Guidelines Development and Legal Review; TechNova Product Launch Product Descriptions and Compliance Review; GreenScape Sustainability Report Data Visualization Development and Review; UrbanEdge Market Expansion Research and Compliance Review
google_gemini-1.5-flash-latest,google,True,3.762545108795166,2025-10-01T10:30:16.451274,10,7,-3,18.4,42.857142857142854,24.457142857142856,-2.0445365820674706,4,0,0,0,0,0.45824665427207945,0.45824665427207945,5,0.5,"EcoBloom Summer Campaign: Planning & Revisions; ; ; ; ; ; GreenScape Sustainability Report: Content, Design & Legal; UrbanEdge Social Media Strategy & Market Research; Q3 Content Calendar Development; GreenScape Sustainability Report Deadline Extension"
google_gemini-2.0-flash-lite-001,google,True,5.063312530517578,2025-10-01T10:25:40.710129,7,15,8,42.857142857142854,20.0,-22.857142857142854,-16.69102155662768,4,0,0,0,0,0.12805126394544328,0.12805126394544328,0,0.0,Merged: cluster_001 + cluster_006 + cluster_011; Merged: cluster_002 + cluster_007 + cluster_012; Merged: cluster_003 + cluster_009 + cluster_013; Merged: cluster_004 + cluster_010 + cluster_014; Merged: cluster_005 + cluster_015; ; 
google_gemini-1.5-pro-002,google,True,6.728636264801025,2025-10-01T10:32:27.823072,11,6,-5,5.0,50.0,45.0,9.341317700999085,4,0,0,0,0,0.07547619126059792,0.07547619126059792,1,0.09090909090909091,; ; ; ; ; ; ; ; ; ; Q3 Content Calendar Planning
google_gemini-1.5-flash-8b,google,True,6.934961795806885,2025-10-01T10:29:58.508622,12,9,-3,21.333333333333332,30.22222222222222,8.88888888888889,3.692122118331852,4,0,0,0,0,0.4451718380053838,0.4451718380053838,6,0.5,EcoBloom Summer Campaign Project Updates and Revisions; FitFusion Rebranding Project; TechNova Product Launch Campaign; ; ; UrbanEdge Social Media Strategy; FitFusion Brand Guidelines Project; ; ; ; ; TechNova Product Descriptions Project
google_gemma-3n-e4b-it,google,True,15.902501344680786,2025-10-01T10:27:34.727068,3,5,2,28.666666666666668,17.2,-11.466666666666669,1.2129824065835368,4,0,0,0,0,0.40773328642050427,0.40773328642050427,1,0.3333333333333333,Merged: cluster_001 + cluster_002; Merged: cluster_003 + cluster_004; EcoBloom Summer Campaign Design Revisions & Legal Review
google_gemini-2.0-flash-001,google,True,1.5597081184387207,2025-10-01T10:27:50.244509,13,15,2,23.076923076923077,20.0,-3.0769230769230766,-2.4404249591926765,4,0,0,0,0,0.8234307502324765,0.8234307502324765,12,0.9230769230769231,Merged: cluster_001 + cluster_006 + cluster_011; FitFusion Rebranding Project - Initial Planning and Timeline; TechNova Product Launch Campaign - Initial Planning and Timeline; GreenScape Sustainability Report - Planning and Timeline; UrbanEdge Social Media Strategy - Planning and Timeline; FitFusion Rebranding - Legal Review and Tagline Finalization; Q3 Content Calendar Development and Finalization; TechNova Product Launch - Budget Finalization; GreenScape Sustainability Report - Deadline Extension; FitFusion Rebranding - Brand Guidelines Development and Legal Approval; TechNova Product Launch - Product Description Finalization and Compliance Review; GreenScape Sustainability Report - Data Visualization Development and Review; UrbanEdge Market Expansion - Market Research and Compliance Review
google_gemini-1.5-pro-latest,google,True,1.6439878940582275,2025-10-01T10:29:30.813615,13,15,2,23.076923076923077,20.0,-3.0769230769230766,-2.4404249591926765,4,0,0,0,0,0.8225723470632846,0.8225723470632846,12,0.9230769230769231,Merged: cluster_001 + cluster_006 + cluster_011; FitFusion Rebranding Project: Kickoff and Initial Planning; TechNova Product Launch: Initial Planning and Deadlines; GreenScape Sustainability Report: Initial Planning and Requirements; UrbanEdge Social Media Strategy: Planning and Development; FitFusion Rebranding: Legal Review and Tagline Revisions; Q3 Content Calendar Planning and Development; TechNova Product Launch: Budget Planning and Finalization; GreenScape Sustainability Report: Deadline Extension and Project Impact; FitFusion Rebranding: Brand Guidelines Development and Legal Review; TechNova Product Launch: Product Description Development and Compliance Review; GreenScape Sustainability Report: Data Visualization Development and Review; UrbanEdge Market Expansion: Market Research and Compliance Review
google_gemma-3-4b-it,google,True,12.986231327056885,2025-10-01T10:24:52.392379,10,16,6,7.1,4.25,-2.8499999999999996,-1.0229490168751578,4,0,0,0,0,0.3283054977655411,0.3283054977655411,2,0.2,Merged: cluster_001 + cluster_002; Merged: cluster_003 + cluster_004; Merged: cluster_005 + cluster_009; Merged: cluster_006 + cluster_011; TechNova Product Launch - Initial Brief; Merged: cluster_008 + cluster_009; Merged: cluster_010 + cluster_014; GreenScape Sustainability Report - Initial Request; Merged: cluster_013 + cluster_015; Merged: cluster_016 + cluster_017
openai_gpt-4o,openai,True,12.694603443145752,2025-10-01T10:30:12.549835,10,15,5,28.1,20.0,-8.100000000000001,-14.851965197819368,4,0,0,0,0,0.4823539763689041,0.4823539763689041,5,0.5,Merged: cluster_001 + cluster_006 + cluster_011; Merged: cluster_002 + cluster_007 + cluster_012; TechNova Product Launch Campaign; Merged: cluster_004 + cluster_010 + cluster_014; UrbanEdge Social Media Strategy; Q3 Content Calendar Development; ; ; TechNova Product Descriptions Finalization; UrbanEdge Market Research for Expansion
google_gemini-2.5-flash,google,True,41.564749002456665,2025-10-01T10:29:21.148875,13,15,2,23.076923076923077,20.0,-3.0769230769230766,-1.3592417940748112,4,0,0,0,0,0.7730237371646441,0.7730237371646441,11,0.8461538461538461,Merged: cluster_001 + cluster_006; Merged: cluster_002 + cluster_007; TechNova Product Launch Campaign Kickoff & Initial Planning; GreenScape Sustainability Report Initial Planning; UrbanEdge Social Media Strategy Development; Q3 Content Calendar Planning & Finalization; TechNova Product Launch Budget Finalization; GreenScape Sustainability Report Deadline Extension & Project Impact; EcoBloom Summer Campaign Final Design Approval & Submission; FitFusion Rebranding Brand Guidelines Development; TechNova Product Launch Product Descriptions Finalization; GreenScape Sustainability Report Data Visualization Development; UrbanEdge Market Expansion Market Research & Compliance
google_gemma-3-12b-it,google,True,4.8215651512146,2025-10-01T10:28:38.790975,5,6,1,17.2,14.333333333333334,-2.8666666666666654,-3.4571909584179368,4,0,0,0,0,0.18525777161121368,0.18525777161121368,0,0.0,Merged: cluster_001 + cluster_006; Merged: cluster_002 + cluster_011; Merged: cluster_003 + cluster_012; Merged: cluster_004 + cluster_013; Merged: cluster_005 + cluster_014
xai_grok-3,xai,True,22.46419930458069,2025-10-01T10:25:35.110734,14,6,-8,6.142857142857143,50.0,43.857142857142854,5.465810873295624,4,0,0,0,0,0.12335879462105888,0.12335879462105888,2,0.14285714285714285,; ; ; ; ; ; ; ; ; ; ; ; UrbanEdge Social Media Strategy and Market Expansion; Q3 Content Calendar Planning
google_gemma-3n-e2b-it,google,True,10.547462224960327,2025-10-01T10:27:45.998032,2,5,3,98.5,39.4,-59.1,19.22848841059384,4,0,0,0,0,0.19407542049884796,0.19407542049884796,0,0.0,Merged: cluster_001 + cluster_002 + cluster_003; Merged: cluster_004 + cluster_005
